Player,Age,G,MP,eFG%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS
Joe Stephens\stephjo01,27,13,13.9,0.373,0.2,0.3,0.75,2.8,0.8,0.5,0.2,0.5,3.2
Kurt Thomas\thomaku01,27,80,24.6,0.506,1.3,1.6,0.781,6.3,1,0.6,0.5,1.3,8
Eric Williams\willier01,27,68,20.3,0.46,2,2.5,0.793,2.3,1.4,0.6,0.2,1,7.2
Vin Baker\bakervi01,28,79,36.1,0.456,3.6,5.2,0.682,7.7,1.9,0.6,0.8,2.7,16.6
Brent Barry\barrybr01,28,80,34.1,0.579,1.6,2,0.809,4.7,3.6,1.3,0.4,1.8,11.8
Bruce Bowen\bowenbr01,28,69,12.7,0.441,0.4,0.6,0.581,1.4,0.5,0.3,0.2,0.3,2.8
Calbert Cheaney\cheanca01,28,67,19.5,0.473,0.1,0.3,0.429,2.1,1.2,0.7,0.2,0.7,4
Kornél Dávid\davidko01,28,32,14.8,0.427,1.4,1.8,0.804,2.5,0.5,0.5,0.1,1,5.6
Anfernee Hardaway\hardaan01,28,60,37.6,0.494,3.8,4.8,0.79,5.8,5.3,1.6,0.6,2.6,16.9
Allan Houston\houstal01,28,82,38.6,0.525,3.4,4.1,0.838,3.3,2.7,0.8,0.2,2.3,19.7
Eddie Jones\jonesed02,28,72,39,0.484,5,5.8,0.864,4.8,4.2,2.7,0.7,2.2,20.1
Matt Maloney\malonma01,28,51,23,0.456,0.7,0.9,0.822,1.3,2.7,0.6,0.1,1.2,6.4
Darrick Martin\martida01,28,71,12.6,0.434,1.4,1.7,0.824,0.6,1.7,0.4,0,0.9,5.7
Anthony Miller\millean01,28,35,13.6,0.536,0.7,1.5,0.51,4.7,0.5,0.3,0.3,0.5,3.7
Eric Montross\montrer01,28,51,6.5,0.309,0.1,0.2,0.5,1.4,0.1,0.1,0.2,0.4,0.8
Gheorghe Mureșan\muresgh01,28,30,8.9,0.456,0.8,1.3,0.605,2.3,0.3,0,0.4,0.5,3.5
Tracy Murray\murratr01,28,80,22.9,0.517,1.5,1.8,0.851,3.4,0.9,0.6,0.3,1.1,10.2
Bo Outlaw\outlabo01,28,82,28.4,0.602,1,2,0.506,6.4,3,1.4,1.8,1.6,6
Wesley Person\persowe01,28,79,26,0.509,0.8,1,0.792,3.4,1.8,0.5,0.2,0.8,9.2
Isaiah Rider\rideris01,28,60,34.7,0.445,3.4,4.3,0.785,4.3,3.7,0.7,0.1,2.8,19.3
Carlos Rogers\rogerca01,28,53,20.8,0.526,1.5,2.6,0.591,5.2,0.8,0.3,0.6,1.2,8
Rodney Rogers\rogerro01,28,82,27.9,0.551,1.9,3,0.639,5.5,2.1,1.1,0.6,2,13.8
Nick Van Exel\vanexni01,28,79,37.3,0.445,2.5,3,0.817,3.9,9,0.9,0.1,2.8,16.1
Chris Whitney\whitnch01,28,82,19.8,0.509,1.4,1.6,0.848,1.6,3.8,0.7,0.1,1.3,7.8
Aaron Williams\williaa01,28,81,19.1,0.522,1.8,2.5,0.726,5,0.7,0.5,1.1,1,7.6
Monty Williams\willimo01,28,75,20,0.491,1.6,2.2,0.741,3.3,1.4,0.6,0.2,1.5,8.7
John Amaechi\amaecjo01,29,80,21.1,0.438,2.8,3.6,0.766,3.3,1.2,0.4,0.5,1.7,10.5
Kenny Anderson\anderke01,29,82,31.6,0.483,2.4,3.1,0.775,2.7,5.1,1.7,0.1,1.6,14
Terrell Brandon\brandte01,29,71,36.4,0.492,2.6,2.9,0.899,3.4,8.9,1.9,0.4,2.6,17.1
Scott Burrell\burresc01,29,74,18.1,0.492,0.5,0.7,0.78,3.5,1,0.9,0.6,0.5,6.1
Doug Christie\chrisdo01,29,73,31,0.472,2.5,3,0.843,3.9,4.4,1.4,0.6,2,12.4
Hubert Davis\davishu01,29,79,23,0.556,0.8,1,0.87,1.7,1.8,0.3,0,0.9,7.4
LaPhonso Ellis\ellisla01,29,58,22.6,0.454,1.1,1.6,0.695,5,1,0.6,0.4,0.9,8.4
Lawrence Funderburke\fundela01,29,75,13.7,0.523,1.5,2.2,0.706,3.1,0.4,0.4,0.3,0.5,6.4
Lucious Harris\harrilu01,29,77,19.6,0.469,1,1.3,0.798,2.4,1.3,0.8,0.1,0.5,6.7
Antonio Harvey\harvean01,29,19,7.2,0.567,0.4,0.6,0.583,1.7,0.3,0.1,0.3,0.6,2.2
Robert Horry\horryro01,29,76,22.2,0.478,1.2,1.5,0.788,4.8,1.6,1.1,1.1,1,5.7
Lindsey Hunter\hunteli01,29,82,35.6,0.519,1.4,1.9,0.76,3,4,1.6,0.3,1.8,12.7
Jim Jackson\jacksji01,29,79,35,0.458,2.4,2.7,0.877,5,2.9,0.7,0.1,2.3,16.7
Popeye Jones\jonespo01,29,40,8.3,0.433,0.4,0.5,0.737,2.6,0.5,0.1,0.2,0.3,2.6
Adam Keefe\keefead01,29,62,9.7,0.408,0.5,0.6,0.806,2.2,0.5,0.3,0.2,0.7,2.2
George Lynch\lynchge01,29,75,32.2,0.473,1.5,2.4,0.617,7.8,1.8,1.6,0.5,1.6,9.6
Sam Mack\macksa01,29,23,14.5,0.389,0.8,0.9,0.95,1.7,1,0.8,0,0.8,5
Oliver Miller\milleol01,29,51,21.3,0.588,1,1.4,0.671,5.1,1.3,0.8,1.6,1.5,6.3
Alonzo Mourning*\mournal01,29,79,34.8,0.551,5.2,7.4,0.711,9.5,1.6,0.5,3.7,2.7,21.7
Eric Piatkowski\piatker01,29,75,22.8,0.497,1.1,1.3,0.85,3,1.1,0.6,0.2,0.8,8.7
Stanley Roberts\roberst01,29,5,10.2,0.313,0,0.6,0,3,0.6,0.2,0.2,0.4,2
Bryon Russell\russebr01,29,82,35.4,0.504,2.9,3.9,0.75,5.2,1.9,1.6,0.3,1.2,14.1
Malik Sealy\sealyma01,29,82,29.2,0.482,2.2,2.7,0.812,4.3,2.4,0.9,0.2,1.3,11.3
Latrell Sprewell\sprewla01,29,82,40,0.452,4.2,4.8,0.866,4.3,4,1.3,0.3,2.8,18.6
Bryant Stith\stithbr01,29,45,15.4,0.5,1.4,1.7,0.831,1.9,1.4,0.4,0.3,0.7,5.6
Mark Strickland\stricma01,29,58,11.4,0.545,0.7,1,0.714,2.4,0.4,0.3,0.3,0.4,4.9
Žan Tabak\tabakza01,29,18,6.3,0.471,0.3,0.4,0.625,1.8,0.2,0.2,0.5,0.6,2.1
Fred Vinson\vinsofr01,29,8,5,0.353,0.1,0.3,0.5,0.1,0,0.4,0,0.5,1.6
Rex Walters\waltere01,29,33,11.8,0.445,0.4,0.5,0.75,1.1,2,0.2,0,0.9,2.8
Charlie Ward\wardch01,29,72,27.6,0.537,0.7,0.8,0.828,3.2,4.2,1.3,0.2,1.4,7.3
Clarence Weatherspoon\weathcl01,29,78,20.7,0.513,1.7,2.3,0.738,5.8,1.2,0.7,0.6,1.3,7.2
David Wesley\wesleda01,29,82,33.7,0.472,2.6,3.4,0.778,2.7,5.6,1.3,0.1,1.9,13.6
Walt Williams\williwa02,29,76,24.5,0.533,1.3,1.6,0.821,4,2.1,0.6,0.6,1.5,10.9
Isaac Austin\austiis01,30,59,19.9,0.43,1.6,2.3,0.686,4.8,1.3,0.3,0.6,1.8,6.7
Anthony Avent\aventan01,30,49,7.7,0.302,0.5,0.7,0.719,1.5,0.2,0.3,0.3,0.5,1.7
Jon Barry\barryjo01,30,62,20.7,0.561,1.7,1.9,0.922,2.6,2.4,1.2,0.1,1.4,8
P.J. Brown\brownpj01,30,80,28.8,0.48,1.5,2,0.755,7.5,1.8,0.8,0.8,1.3,9.6
Sam Cassell\cassesa01,30,81,35.8,0.477,4.8,5.5,0.876,3.7,9,1.3,0.1,3.3,18.6
Cedric Ceballos\cebalce01,30,69,29.9,0.468,3,3.6,0.843,6.7,1.3,0.8,0.3,1.8,16.6
John Crotty\crottjo01,30,69,13.6,0.488,1.2,1.3,0.86,1.1,1.9,0.4,0.1,0.8,4.7
Dale Davis\davisda01,30,74,28.7,0.502,1.9,2.7,0.685,9.9,0.9,0.7,1.3,1.2,10
Todd Day\dayto01,30,58,16.2,0.491,1.2,1.9,0.667,2.2,1.1,0.8,0.4,0.9,6.8
Tony Farmer\farmeto01,30,74,16.2,0.42,2.7,3.6,0.766,4,1,0.9,0.2,1.1,6.3
Rick Fox\foxri01,30,82,18,0.473,0.8,1,0.808,2.4,1.7,0.6,0.3,1.1,6.5
Matt Geiger\geigema01,30,65,21.6,0.441,1.7,2.2,0.779,6,0.6,0.4,0.3,1.4,9.7
Tom Gugliotta\guglito01,30,54,32.7,0.481,2.2,2.8,0.775,7.9,2.3,1.5,0.6,2,13.7
Larry Johnson\johnsla02,30,70,32.6,0.477,1.8,2.4,0.766,5.4,2.5,0.6,0.1,1.3,10.7
Shawn Kemp\kempsh01,30,82,30.4,0.418,6,7.7,0.776,8.8,1.7,1.2,1.2,3.5,17.8
Christian Laettner\laettch01,30,82,29.8,0.478,2.9,3.6,0.812,6.7,2.3,1,0.5,2.3,12.2
Don MacLean\macledo01,30,16,8.9,0.388,0.3,0.4,0.667,1.4,0.5,0.1,0.1,0.5,2.6
Chris Mills\millsch01,30,20,32.5,0.435,3.4,4.2,0.81,6.2,2.4,0.9,0.2,1.3,16.1
Doug Overton\overtdo01,30,48,9,0.429,0.4,0.4,0.952,0.7,1.1,0.2,0,0.4,3.2
Billy Owens\owensbi01,30,62,21,0.434,1,1.7,0.594,4.9,1.6,0.5,0.3,1.4,6
Robert Pack\packro01,30,29,22.9,0.426,2.2,2.7,0.808,1.4,5.8,1.1,0.1,2.6,8.9
Anthony Peeler\peelean01,30,82,25.3,0.494,1.1,1.3,0.798,2.8,2.4,0.8,0.1,1,9.8
Elliot Perry\perryel01,30,60,13.4,0.454,0.8,1,0.806,1,2.3,0.7,0,1,5.3
Bobby Phills\phillbo01,30,28,29.5,0.499,1.7,2.3,0.723,2.5,2.8,1.5,0.3,1.7,13.6
Sean Rooks\rooksse01,30,71,14.1,0.431,0.9,1.3,0.73,3.5,1,0.4,0.7,1,4.4
Steve Smith\smithst01,30,82,32.8,0.52,3.5,4.1,0.85,3.8,2.5,0.9,0.4,1.4,14.9
Lorenzo Williams\willilo01,30,8,9.5,0.778,0,0,,3.1,0.1,0.4,0.8,0.4,1.8
Darrell Armstrong\armstda01,31,82,31.6,0.494,2.7,3,0.911,3.3,6.1,2.1,0.1,3,16.2
Stacey Augmon\augmost01,31,59,11.7,0.474,0.6,0.9,0.673,2,0.9,0.5,0.2,0.6,3.4
Corie Blount\blounco01,31,38,11.7,0.494,0.5,0.9,0.576,3,0.3,0.4,0.2,0.7,2.8
Chucky Brown\brownch01,31,63,17.4,0.454,0.6,0.8,0.692,2.7,1,0.3,0.3,0.7,5.3
Dee Brown\brownde01,31,38,17.7,0.49,0.3,0.4,0.688,1.4,2.3,0.6,0.1,1,6.9
Randy Brown\brownra02,31,59,27.5,0.364,1.1,1.4,0.738,2.4,3.4,1,0.3,1.8,6.4
Jud Buechler\buechju01,31,58,11.3,0.41,0,0.1,0.286,1.6,0.6,0.4,0.3,0.2,2.2
Elden Campbell\campbel01,31,78,32.5,0.446,3.2,4.6,0.69,7.6,1.7,0.7,1.9,1.6,12.7
Duane Causwell\causwdu01,31,25,7.4,0.541,1,1.5,0.684,1.9,0.1,0.1,0.6,0.4,2.6
Pete Chilcutt\chilcpe01,31,56,10.7,0.441,0.1,0.1,1,2.3,0.5,0.3,0.2,0.4,2.1
Bimbo Coles\colesbi01,31,80,24.1,0.461,1.1,1.3,0.817,2.2,3.6,0.7,0.1,1.3,8.1
Michael Curry\currymi01,31,82,19.6,0.482,1.7,2,0.839,1.3,1.1,0.4,0.1,0.9,6.2
Antonio Davis\davisan01,31,79,31.4,0.44,3.6,4.7,0.765,8.8,1.3,0.5,1.3,1.5,11.5
Emanual Davis\davisem01,31,54,13,0.434,0.5,0.7,0.684,1.9,1.3,0.7,0.1,0.8,4
Vlade Divac*\divacvl01,31,82,29,0.507,2.8,4.1,0.691,8,3,1.3,1.3,2.3,12.3
Sean Elliott\elliose01,31,19,20.6,0.42,1.3,1.7,0.781,2.5,1.5,0.6,0.1,1,6
Greg Foster\fostegr01,31,60,12,0.413,0.3,0.5,0.643,1.8,0.7,0.2,0.3,0.5,3.4
Kendall Gill\gillke01,31,76,31,0.425,2.4,3.4,0.71,3.7,2.8,1.8,0.5,1.2,13.1
Tyrone Hill\hillty01,31,68,31.7,0.485,2.6,3.8,0.691,9.2,0.8,0.9,0.4,1.8,12
Toni Kukoč\kukocto01,31,56,31.9,0.438,3.4,4.7,0.725,4.9,4.7,1.4,0.5,2.6,14.8
Luc Longley\longllu01,31,72,19.7,0.466,1.1,1.3,0.825,4.5,1.1,0.3,0.6,1.9,6.3
Eric Murdock\murdoer01,31,40,17.3,0.424,1.3,2,0.638,1.9,2.7,1.2,0.1,1.5,5.6
Gary Payton*\paytoga01,31,82,41.8,0.502,3.8,5.2,0.735,6.5,8.9,1.9,0.2,2.7,24.2
Brent Price\pricebr01,31,41,10.3,0.45,0.8,1,0.872,0.9,1.7,0.4,0,1.1,3.4
J.R. Reid\reidjr01,31,34,17.7,0.421,1.3,1.6,0.768,3.4,0.5,0.6,0.1,0.6,4.4
Dennis Scott\scottde01,31,66,19.1,0.482,0.7,0.9,0.842,1.6,1,0.4,0.1,0.5,5.6
Derek Strong\stronde01,31,20,7.4,0.448,0.6,0.7,0.786,2.2,0.2,0.3,0.1,0.6,2.7
Loy Vaught\vaughlo01,31,43,6.8,0.36,0.3,0.4,0.688,2.1,0.3,0.1,0.1,0.3,1.7
Scott Williams\willisc01,31,68,21.9,0.5,1.4,1.9,0.729,6.6,0.4,0.6,1,1,7.6
Nick Anderson\anderni01,32,72,29.1,0.476,0.5,1.1,0.487,4.7,1.7,1.3,0.2,1.3,10.8
Greg Anthony\anthogr01,32,82,18.9,0.512,1.1,1.4,0.772,1.6,2.5,0.7,0.1,1,6.3
B.J. Armstrong\armstbj01,32,27,21.6,0.481,0.8,0.9,0.88,1.7,2.9,0.3,0,1.5,7.4
Dana Barros\barroda01,32,72,15.8,0.518,0.9,1.1,0.868,1.4,1.8,0.4,0.1,0.9,7.2
Mookie Blaylock\blaylmo01,32,73,33.7,0.451,0.9,1.3,0.705,3.7,6.7,2,0.3,2,11.3
Matt Bullard\bullama01,32,56,18.3,0.525,0.4,0.5,0.833,2.5,1.1,0.3,0.2,0.6,6.8
Rex Chapman\chapmre01,32,53,18.1,0.452,1.1,1.5,0.756,1.5,1.2,0.4,0,0.7,6.6
Chris Childs\childch01,32,71,23.6,0.461,0.7,0.8,0.797,2.1,4,0.5,0.1,1.5,5.3
Derrick Coleman\colemde01,32,74,31.7,0.482,4,5.1,0.785,8.5,2.4,0.5,1.8,2.3,16.7
Marty Conlon\conloma01,32,3,3,0.5,0,0,,0.7,0,0,0,0,0.7
Pervis Ellison\ellispe01,32,30,9,0.442,0.5,0.7,0.714,2.2,0.4,0.3,0.3,0.4,1.8
Chris Gatling\gatlich01,32,85,21.3,0.466,3.1,4.4,0.713,5.9,0.8,1,0.3,2,11.9
Tom Hammonds\hammoto01,32,56,6.6,0.433,0.6,1,0.589,1.8,0.2,0.1,0.1,0.4,2.1
Jaren Jackson\jacksja01,32,81,20.9,0.492,0.4,0.6,0.647,2.2,1.5,0.7,0.1,0.8,6.3
Ervin Johnson\johnser02,32,80,26.6,0.516,1.2,2,0.605,8.1,0.6,1,1.6,1,4.8
Reggie Jordan\jordare01,32,36,6.8,0.321,0.2,0.4,0.538,1.1,0.9,0.3,0.1,0.5,1.1
Tony Massenburg\masseto01,32,10,10.9,0.444,1.4,1.6,0.875,2.7,0.3,0.2,0.5,0.9,4.6
George McCloud\mccloge01,32,78,27.2,0.501,1.9,2.3,0.818,3.7,3.2,0.6,0.3,1.7,10.1
Terry Mills\millste01,32,82,22.5,0.536,0.3,0.4,0.735,4.8,1,0.5,0.3,0.6,6.7
Eldridge Recasner\recasel01,32,7,4,0.5,0,0,,0.6,0.7,0,0,0,1
Glen Rice\ricegl01,32,80,31.6,0.472,4.3,5,0.874,4.1,2.2,0.6,0.2,1.4,15.9
Felton Spencer\spencfe01,32,26,5.7,0.455,0.8,1.2,0.667,1.5,0.1,0.2,0.3,0.3,1.9
Doug West\westdo01,32,38,15.3,0.407,0.9,1.1,0.85,1.9,1.1,0.3,0.2,0.5,4
Vinny Del Negro\delnevi01,33,67,18.1,0.483,0.5,0.6,0.897,1.6,2.4,0.5,0,0.7,5.2
Sherman Douglas\douglsh01,33,20,15.5,0.528,1.3,1.4,0.893,1.5,1.7,0.9,0,1.2,6
Danny Ferry\ferryda01,33,63,21,0.541,0.8,0.9,0.912,3.8,1.1,0.3,0.4,0.9,7.3
Dean Garrett\garrede01,33,56,10.8,0.444,0.3,0.5,0.692,2.5,0.3,0.1,0.7,0.4,2
Tim Hardaway\hardati01,33,52,32.2,0.459,2.1,2.6,0.827,2.9,7.4,0.9,0.1,2.3,13.4
Hersey Hawkins\hawkihe01,33,61,26.6,0.497,1.8,2,0.899,2.9,2.2,1.2,0.2,1.6,7.9
Kevin Johnson\johnske02,33,6,18.8,0.589,1.2,1.2,1,2.7,4,0.3,0,1.2,6.7
Andrew Lang\langan01,33,19,12.8,0.438,0.2,0.4,0.429,3.2,0.2,0.4,0.3,0.3,3.1
Tim Legler\legleti01,33,23,12.3,0.404,0.6,0.8,0.778,1,1,0.2,0,0.3,3.3
Grant Long\longgr01,33,42,21.9,0.443,1.3,1.7,0.775,5.6,1,1.1,0.2,1.2,4.8
Danny Manning\mannida01,33,72,16.9,0.441,0.5,0.7,0.654,2.9,1,0.9,0.4,0.8,4.6
Anthony Mason\masonan01,33,82,38.2,0.48,3.8,5.1,0.746,8.5,4.5,0.9,0.4,2,11.6
Derrick McKey\mckeyde01,33,32,19.8,0.444,1.3,1.8,0.768,4.2,1.1,0.9,0.4,0.6,4.3
Dikembe Mutombo*\mutomdi01,33,82,36.4,0.562,3.6,5.1,0.708,14.1,1.3,0.3,3.3,2.1,11.5
Clifford Robinson\robincl02,33,80,35.5,0.517,3.7,4.8,0.782,4.5,2.8,1.1,0.8,2.1,18.5
Brian Shaw\shawbr01,33,74,16.9,0.41,0.6,0.7,0.759,2.9,2.7,0.5,0.2,1,4.1
Rik Smits\smitsri01,33,79,23.4,0.484,2,2.7,0.739,5.1,1.1,0.3,1.3,1.4,12.9
Rod Strickland\stricro02,33,69,31.7,0.43,3.1,4.4,0.702,3.8,7.5,1.4,0.3,2.7,12.6
Mark Bryant\bryanma01,34,75,22.8,0.503,1,1.3,0.809,4.7,0.8,0.4,0.4,1.2,5.7
Chris Dudley\dudlech02,34,47,9.8,0.343,0.2,0.6,0.333,2.9,0.1,0.1,0.4,0.4,1.2
Gary Grant\grantga01,34,3,8,0.429,0,0,,1,0.3,0.3,0,0.7,4
Horace Grant\grantho01,34,76,35.4,0.444,1.1,1.5,0.721,7.8,2.5,0.7,0.8,0.8,8.1
Mark Jackson\jacksma01,34,81,27,0.51,1,1.2,0.806,3.7,8,0.9,0.1,2.1,8.1
Avery Johnson\johnsav01,34,82,31.4,0.474,1.4,1.9,0.735,1.9,6,0.9,0.2,1.7,11.2
Steve Kerr\kerrst01,34,32,8.4,0.541,0.3,0.3,0.818,0.6,0.4,0.1,0,0.2,2.8
Dan Majerle\majerda01,34,69,33.4,0.533,0.8,1,0.812,4.8,3,1.3,0.2,0.9,7.3
Vernon Maxwell\maxweve01,34,47,21,0.413,2.3,3.1,0.73,1.7,1.6,0.8,0.2,1.1,10.9
Reggie Miller*\millere01,34,81,36.9,0.527,4.6,5,0.919,3,2.3,1,0.3,1.6,18.1
Will Perdue\perduwi01,34,67,15.1,0.351,0.7,1.6,0.476,3.9,1,0.2,0.6,1.2,2.5
Scottie Pippen*\pippesc01,34,82,33.5,0.501,2,2.7,0.717,6.3,5,1.4,0.5,2.5,12.5
Mitch Richmond*\richmmi01,34,74,32.4,0.47,4,4.6,0.876,2.9,2.5,1.5,0.2,2.1,17.4
David Robinson*\robinda01,34,80,32,0.512,4.6,6.4,0.726,9.6,1.8,1.2,2.3,2.1,17.8
John Starks\starkjo01,34,37,32.2,0.429,1.4,1.6,0.847,2.7,4.9,1.1,0.1,1.8,13.9
Haywoode Workman\workmha01,34,36,9.7,0.422,0.3,0.4,0.667,0.7,1.7,0.6,0,0.5,2.4
Benoit Benjamin\benjabe01,35,3,2.7,0.333,0,0,,0.3,0,0,0.3,0,0.7
Muggsy Bogues\boguemu01,35,80,21.6,0.462,1,1.1,0.908,1.7,3.7,0.8,0.1,0.7,5.1
Dell Curry\curryde01,35,67,16.3,0.532,0.4,0.5,0.75,1.5,1.3,0.5,0.1,0.6,7.6
Armen Gilliam\gilliar01,35,50,15.6,0.436,1.3,1.7,0.779,4.2,0.8,0.2,0.3,1.1,6.7
Chuck Person\persoch01,35,37,9.2,0.398,0.1,0.2,0.5,1.4,0.6,0.1,0.1,0.3,2.8
Olden Polynice\polynol01,35,82,22.2,0.511,0.3,1.1,0.311,5.5,0.5,0.4,1,0.9,5.3
Arvydas Sabonis*\sabonar01,35,66,25.6,0.511,2.5,3,0.843,7.8,1.8,0.7,1.2,1.5,11.8
John Salley\sallejo01,35,45,6.7,0.362,0.5,0.6,0.75,1.4,0.6,0.2,0.3,0.4,1.6
Charles Barkley*\barklch01,36,20,31,0.491,3.6,5.5,0.645,10.5,3.2,0.7,0.2,2.2,14.5
Mario Elie\eliema01,36,79,28.1,0.508,1.6,1.9,0.846,3.2,2.4,0.9,0.1,1.6,7.5
A.C. Green\greenac01,36,82,23.5,0.448,0.8,1.2,0.695,5.9,1,0.6,0.2,0.6,5
Ron Harper\harpero01,36,80,25.5,0.43,1.3,1.8,0.68,4.2,3.4,1.1,0.5,1.7,7
Jeff Hornacek\hornaje01,36,77,27.7,0.537,2.2,2.3,0.95,2.4,2.6,0.9,0.2,1.5,12.4
Karl Malone*\malonka01,36,82,35.9,0.51,7.2,9,0.797,9.5,3.7,1,0.9,2.8,25.5
Sam Mitchell\mitchsa01,36,66,18.6,0.46,1.2,1.4,0.88,2.1,1.7,0.4,0.2,0.7,6.5
Chris Mullin*\mullich01,36,47,12.4,0.548,0.8,0.9,0.902,1.6,0.8,0.6,0.2,0.6,5.1
Johnny Newman\newmajo01,36,82,21.5,0.504,2.3,2.8,0.838,1.9,0.8,0.6,0.1,1.1,10
Charles Oakley\oaklech01,36,80,30.4,0.43,0.8,1.1,0.776,6.8,3.2,1.3,0.6,1.9,6.9
Terry Porter\portete01,36,68,23.7,0.544,2,2.5,0.806,2.8,3.3,0.7,0.1,1.5,9.4
Bill Wennington\wennibi01,36,7,8.1,0.316,0.3,0.3,1,2.7,0.1,0.3,0.3,0.1,2
David Wingate\wingada01,36,7,4.6,0.111,0,0,,0.3,0.4,0.1,0.3,0.3,0.3
Tyrone Corbin\corbity01,37,54,17.4,0.377,0.6,0.7,0.846,3.1,1.1,0.7,0.1,0.5,4.1
Patrick Ewing*\ewingpa01,37,62,32.8,0.466,3.3,4.6,0.731,9.7,0.9,0.6,1.4,2.3,15
Jerome Kersey\kerseje01,37,72,18.2,0.412,0.4,0.6,0.707,3.1,1,0.9,0.7,0.7,4.5
Hakeem Olajuwon*\olajuha01,37,44,23.8,0.458,1.6,2.5,0.616,6.2,1.4,0.9,1.6,1.7,10.3
Detlef Schrempf\schrede01,37,77,21.6,0.456,2.3,2.8,0.833,4.3,2.6,0.5,0.2,1.3,7.5
John Stockton*\stockjo01,37,82,29.7,0.53,2.7,3.1,0.86,2.6,8.6,1.7,0.2,2.2,12.1
Otis Thorpe\thorpot01,37,51,15.2,0.514,0.6,0.9,0.604,3.3,0.6,0.5,0.2,1.2,5.5
Kevin Willis\willike02,37,79,21.3,0.416,1.7,2.1,0.799,6.1,0.6,0.5,0.6,1.2,7.6
Michael Cage\cagemi01,38,20,12.1,0.5,0.2,0.2,1,4.1,0.5,0.4,0.4,0.2,1.4
Antoine Carr\carran01,38,21,10.5,0.438,0.5,0.7,0.786,1.5,0.3,0.1,0.3,0.4,3.2
Terry Cummings\cummite01,38,22,18.1,0.429,1.5,1.8,0.821,4.9,1,0.6,0.4,1.2,8.4
Joe Kleine\kleinjo01,38,7,4.4,0.364,0.4,0.4,1,0.9,0.3,0.1,0,0.3,1.6
Sam Perkins\perkisa01,38,81,20,0.518,1,1.2,0.825,3.6,0.8,0.4,0.4,0.8,6.6
Dennis Rodman*\rodmade01,38,12,32.4,0.387,0.8,1.2,0.714,14.3,1.2,0.2,0.1,1.6,2.8
Dale Ellis\ellisda01,39,42,13.4,0.531,0.2,0.3,0.692,1.3,0.3,0.3,0,0.5,4.2
Mark West\westma01,39,22,5.8,0.417,0.2,0.4,0.625,1.4,0.1,0.1,0.2,0.3,0.7
C.J. Miles\milescj01,19,37,10.1,0.375,0.4,0.6,0.609,0.9,0.7,0.3,0.1,0.8,2.7
Yaroslav Korolev\korolya01,19,10,4.1,0.281,0.3,0.6,0.5,0.3,0.4,0.3,0,0.1,1.2
Amir Johnson\johnsam01,19,8,15.5,0.545,1.4,1.8,0.786,4.6,0.4,0.6,1.6,1.1,5.9
Ersan İlyasova\ilyaser01,19,66,14.7,0.457,1.1,1.3,0.787,2.9,0.7,0.4,0.3,0.8,6.1
Andrew Bynum\bynuman01,19,82,21.9,0.558,1.7,2.6,0.668,5.9,1.1,0.1,1.6,1.4,7.8
Shawne Williams\willish03,20,46,12.1,0.528,0.2,0.4,0.55,1.8,0.5,0.1,0.2,0.5,3.9
Marvin Williams\willima02,20,64,34,0.441,3.4,4.1,0.815,5.3,1.9,0.8,0.5,2,13.1
Lou Williams\willilo02,20,61,11.3,0.469,1,1.5,0.696,1.1,1.8,0.4,0,0.8,4.3
Martell Webster\webstma02,20,82,21.5,0.489,1.1,1.6,0.705,2.9,0.6,0.4,0.2,0.9,7
Tyrus Thomas\thomaty01,20,72,13.4,0.475,1.5,2.4,0.606,3.7,0.6,0.6,1.1,1.3,5.2
Mouhamed Sene\senesa01,20,28,6,0.367,0.6,1,0.586,1.6,0,0.1,0.4,0.4,1.9
Rajon Rondo\rondora01,20,78,23.5,0.424,1.5,2.4,0.647,3.7,3.8,1.6,0.1,1.8,6.4
Sergio Rodríguez\rodrise01,20,67,12.9,0.473,0.3,0.4,0.808,1.4,3.3,0.5,0,1.1,3.7
Patrick O'Bryant\obryapa01,20,16,7.4,0.313,0.7,1.1,0.647,1.3,0.6,0.4,0.5,0.5,1.9
Kyle Lowry\lowryky01,20,10,17.5,0.408,2.5,2.8,0.893,3.1,3.2,1.4,0.1,1.2,5.6
Daniel Gibson\gibsoda01,20,60,16.5,0.537,0.5,0.7,0.718,1.5,1.2,0.4,0.1,0.7,4.6
Rudy Gay\gayru01,20,78,27,0.457,1.9,2.7,0.727,4.5,1.3,0.9,0.9,1.8,10.8
Jordan Farmar\farmajo01,20,72,15.1,0.498,0.4,0.5,0.711,1.7,1.9,0.6,0.1,1,4.4
Andray Blatche\blatcan01,20,56,12.2,0.447,0.5,0.9,0.612,3.4,0.7,0.3,0.6,0.9,3.7
Andris Biedriņš\biedran01,20,82,29,0.599,1.1,2,0.521,9.3,1.1,0.8,1.7,1.5,9.5
Dorell Wright\wrighdo01,21,66,19.6,0.452,1,1.3,0.744,4.1,1.4,0.6,0.7,1,6
Marcus Williams\willima03,21,79,16.6,0.439,0.9,1.1,0.847,2.1,3.3,0.4,0,1.8,6.8
Von Wafer\wafervo01,21,1,1,0,0,0,,0,0,0,0,0,0
P.J. Tucker\tuckepj01,21,17,4.9,0.5,0.5,0.8,0.571,1.4,0.2,0.1,0,0.4,1.8
Sebastian Telfair\telfase01,21,78,20.2,0.41,1.2,1.4,0.818,1.4,2.8,0.6,0.1,1.3,6.1
